UNITID,ADMCON1_2017,ADMCON2_2017,ADMCON3_2017,ADMCON4_2017,ADMCON5_2017,ADMCON6_2017,ADMCON7_2017,ADMCON8_2017,ADMCON9_2017,XAPPLCN_2017,APPLCN_2017,XAPPLCNM_2017,APPLCNM_2017,XAPPLCNW_2017,APPLCNW_2017,XADMSSN_2017,ADMSSN_2017,XADMSSNM_2017,ADMSSNM_2017,XADMSSNW_2017,ADMSSNW_2017,XENRLT_2017,ENRLT_2017,XENRLM_2017,ENRLM_2017,XENRLW_2017,ENRLW_2017,XENRLFT_2017,ENRLFT_2017,XENRLFTM_2017,ENRLFTM_2017,XENRLFTW_2017,ENRLFTW_2017,XENRLPT_2017,ENRLPT_2017,XENRLPTM_2017,ENRLPTM_2017,XENRLPTW_2017,ENRLPTW_2017,XSATNUM_2017,SATNUM_2017,XSATPCT_2017,SATPCT_2017,XACTNUM_2017,ACTNUM_2017,XACTPCT_2017,ACTPCT_2017,XSATVR25_2017,SATVR25_2017,XSATVR75_2017,SATVR75_2017,XSATMT25_2017,SATMT25_2017,XSATMT75_2017,SATMT75_2017,XACTCM25_2017,ACTCM25_2017,XACTCM75_2017,ACTCM75_2017,XACTEN25_2017,ACTEN25_2017,XACTEN75_2017,ACTEN75_2017,XACTMT25_2017,ACTMT25_2017,XACTMT75_2017,ACTMT75 _2017,ADMCON1_2015,ADMCON2_2015,ADMCON3_2015,ADMCON4_2015,ADMCON5_2015,ADMCON6_2015,ADMCON7_2015,ADMCON8_2015,ADMCON9_2015,XAPPLCN_2015,APPLCN_2015,XAPPLCNM_2015,APPLCNM_2015,XAPPLCNW_2015,APPLCNW_2015,XADMSSN_2015,ADMSSN_2015,XADMSSNM_2015,ADMSSNM_2015,XADMSSNW_2015,ADMSSNW_2015,XENRLT_2015,ENRLT_2015,XENRLM_2015,ENRLM_2015,XENRLW_2015,ENRLW_2015,XENRLFT_2015,ENRLFT_2015,XENRLFTM_2015,ENRLFTM_2015,XENRLFTW_2015,ENRLFTW_2015,XENRLPT_2015,ENRLPT_2015,XENRLPTM_2015,ENRLPTM_2015,XENRLPTW_2015,ENRLPTW_2015,XSATNUM_2015,SATNUM_2015,XSATPCT_2015,SATPCT_2015,XACTNUM_2015,ACTNUM_2015,XACTPCT_2015,ACTPCT_2015,XSATVR25_2015,SATVR25_2015,XSATVR75_2015,SATVR75_2015,XSATMT25_2015,SATMT25_2015,XSATMT75_2015,SATMT75_2015,XSATWR25_2015,SATWR25_2015,XSATWR75_2015,SATWR75_2015,XACTCM25_2015,ACTCM25_2015,XACTCM75_2015,ACTCM75_2015,XACTEN25_2015,ACTEN25_2015,XACTEN75_2015,ACTEN75_2015,XACTMT25_2015,ACTMT25_2015,XACTMT75_2015,ACTMT75_2015,XACTWR25_2015,ACTWR25_2015,XACTWR75_2015,ACTWR75 _2015,ADMCON1_2016,ADMCON2_2016,ADMCON3_2016,ADMCON4_2016,ADMCON5_2016,ADMCON6_2016,ADMCON7_2016,ADMCON8_2016,ADMCON9_2016,XAPPLCN_2016,APPLCN_2016,XAPPLCNM_2016,APPLCNM_2016,XAPPLCNW_2016,APPLCNW_2016,XADMSSN_2016,ADMSSN_2016,XADMSSNM_2016,ADMSSNM_2016,XADMSSNW_2016,ADMSSNW_2016,XENRLT_2016,ENRLT_2016,XENRLM_2016,ENRLM_2016,XENRLW_2016,ENRLW_2016,XENRLFT_2016,ENRLFT_2016,XENRLFTM_2016,ENRLFTM_2016,XENRLFTW_2016,ENRLFTW_2016,XENRLPT_2016,ENRLPT_2016,XENRLPTM_2016,ENRLPTM_2016,XENRLPTW_2016,ENRLPTW_2016,XSATNUM_2016,SATNUM_2016,XSATPCT_2016,SATPCT_2016,XACTNUM_2016,ACTNUM_2016,XACTPCT_2016,ACTPCT_2016,XSATVR25_2016,SATVR25_2016,XSATVR75_2016,SATVR75_2016,XSATMT25_2016,SATMT25_2016,XSATMT75_2016,SATMT75_2016,XACTCM25_2016,ACTCM25_2016,XACTCM75_2016,ACTCM75_2016,XACTEN25_2016,ACTEN25_2016,XACTEN75_2016,ACTEN75_2016,XACTMT25_2016,ACTMT25_2016,XACTMT75_2016,ACTMT75 _2016
134909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,3,3,3,1,3,R,386,R,261,R,125,R,280,R,225,R,55,R,86,R,69,R,17,R,71,R,59,R,12,R,15,R,10,R,5,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,3,3,1,1,3,R,2196,R,654,R,1542,R,1399,R,413,R,986,R,475,R,182,R,293,R,473,R,181,R,292,R,2,R,1,R,1,R,331,R,70,R,284,R,60,R,430,R,480,R,410,R,470,A,,A,,R,17,R,19,R,17,R,20,R,17,R,18,A,,A,,1,3,1,1,3,3,1,1,3,R,2915,R,775,R,2140,R,1448,R,406,R,1042,R,437,R,146,R,291,R,431,R,145,R,286,R,6,R,1,R,5,R,282,R,65,R,287,R,66,R,430,R,488,R,410,R,488,R,17,R,20,R,17,R,21,R,17,R,19
140827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,1,3,2,3,R,7,R,3,R,4,R,7,R,3,R,4,R,7,R,3,R,4,R,7,R,3,R,4,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,3,3,3,1,3,R,105,R,57,R,48,R,88,R,53,R,35,R,44,R,26,R,18,R,39,R,22,R,17,R,5,R,4,R,1,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,1,3,2,1,3,R,49,R,24,R,25,R,30,R,15,R,15,R,20,R,10,R,10,R,18,R,9,R,9,R,2,R,1,R,1,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,3,1,2,1,3,2,1,3,R,38,R,19,R,19,R,38,R,19,R,19,R,14,R,11,R,3,R,14,R,11,R,3,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
151494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,3,3,3,1,3,R,194,R,150,R,44,R,184,R,142,R,42,R,52,R,48,R,4,R,42,R,39,R,3,R,10,R,9,R,1,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,3,3,3,1,3,R,100,R,58,R,42,R,73,R,51,R,22,R,30,R,20,R,10,R,18,R,10,R,8,R,12,R,10,R,2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,3,3,3,1,3,R,1647,R,1011,R,636,R,1322,R,830,R,492,R,367,R,237,R,130,R,254,R,170,R,84,R,113,R,67,R,46,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,3,3,1,1,3,R,2669,R,1269,R,1400,R,1725,R,865,R,860,R,1035,R,549,R,486,R,986,R,522,R,464,R,49,R,27,R,22,R,578,R,56,R,388,R,37,R,430,R,530,R,420,R,540,A,,A,,A,,A,,R,17,R,24,R,17,R,24,A,,A,,1,2,1,2,3,3,1,1,3,R,2810,R,1316,R,1494,R,1649,R,812,R,837,R,891,R,473,R,418,R,826,R,443,R,383,R,65,R,30,R,35,R,496,R,56,R,532,R,60,R,430,R,530,R,430,R,540,R,18,R,24,R,17,R,24,R,17,R,24
152266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,3,1,2,3,R,3432,R,1272,R,2151,R,1661,R,610,R,1051,R,570,R,250,R,320,R,531,R,232,R,299,R,39,R,18,R,21,R,412,R,72,R,159,R,28,R,420,R,530,R,410,R,520,R,400,R,510,R,18,R,22,R,16,R,23,R,17,R,23,R,6,R,8,1,2,1,2,3,3,1,1,3,R,2975,R,1038,R,1937,R,1485,R,540,R,945,R,410,R,192,R,218,R,378,R,176,R,202,R,32,R,16,R,16,R,325,R,79,R,119,R,29,R,440,R,530,R,430,R,520,R,19,R,23,R,18,R,24,R,18,R,24
