,UNITID,XUGPO9_N_1617,UGPO9_N_1617,XUGPO9_T_1617,UGPO9_T_1617,XUGPO9_A_1617,UGPO9_A_1617,XGPO9_N_1617,GPO9_N_1617,XGPO9_T_1617,GPO9_T_1617,XGPO9_A_1617,GPO9_A_1617,XPO9_N_1617,PO9_N_1617,XPO9_T_1617,PO9_T_1617,XPO9_A_1617,PO9_A_1617,XUGDOD_N_1617,UGDOD_N_1617,XUGDOD_T_1617,UGDOD_T_1617,XUGDOD_A_1617,UGDOD_A_1617,XGDOD_N_1617,GDOD_N_1617,XGDOD_T_1617,GDOD_T_1617,XGDOD_A_1617,GDOD_A_1617,XDOD_N_1617,DOD_N_1617,XDOD_T_1617,DOD_T_1617,XDOD_A_1617,DOD_A   _1617,XUGPO9_N_1415,UGPO9_N_1415,XUGPO9_T_1415,UGPO9_T_1415,XUGPO9_A_1415,UGPO9_A_1415,XGPO9_N_1415,GPO9_N_1415,XGPO9_T_1415,GPO9_T_1415,XGPO9_A_1415,GPO9_A_1415,XPO9_N_1415,PO9_N_1415,XPO9_T_1415,PO9_T_1415,XPO9_A_1415,PO9_A_1415,XUGDOD_N_1415,UGDOD_N_1415,XUGDOD_T_1415,UGDOD_T_1415,XUGDOD_A_1415,UGDOD_A_1415,XGDOD_N_1415,GDOD_N_1415,XGDOD_T_1415,GDOD_T_1415,XGDOD_A_1415,GDOD_A_1415,XDOD_N_1415,DOD_N_1415,XDOD_T_1415,DOD_T_1415,XDOD_A_1415,DOD_A   _1415,XUGPO9_N_1516,UGPO9_N_1516,XUGPO9_T_1516,UGPO9_T_1516,XUGPO9_A_1516,UGPO9_A_1516,XGPO9_N_1516,GPO9_N_1516,XGPO9_T_1516,GPO9_T_1516,XGPO9_A_1516,GPO9_A_1516,XPO9_N_1516,PO9_N_1516,XPO9_T_1516,PO9_T_1516,XPO9_A_1516,PO9_A_1516,XUGDOD_N_1516,UGDOD_N_1516,XUGDOD_T_1516,UGDOD_T_1516,XUGDOD_A_1516,UGDOD_A_1516,XGDOD_N_1516,GDOD_N_1516,XGDOD_T_1516,GDOD_T_1516,XGDOD_A_1516,GDOD_A_1516,XDOD_N_1516,DOD_N_1516,XDOD_T_1516,DOD_T_1516,XDOD_A_1516,DOD_A   _1516
0,100654,R,74.0,R,459035.0,R,6203.0,R,14.0,R,104332.0,R,7452.0,R,88.0,R,563367.0,R,6402.0,R,706.0,R,3004448.0,R,4256.0,R,34.0,R,141425.0,R,4160.0,R,740.0,R,3145873.0,R,4251.0,R,73.0,R,389395.0,R,5334.0,R,12.0,R,56548.0,R,4712.0,R,85.0,R,445943.0,R,5246.0,R,21.0,R,62629.0,R,2982.0,R,2.0,R,5500.0,R,2750.0,R,23.0,R,68129.0,R,2962.0,R,65.0,R,445249.0,R,6850.0,R,12.0,R,66683.0,R,5557.0,R,77.0,R,511932.0,R,6648.0,R,22.0,R,64152.0,R,2916.0,R,4.0,R,10756.0,R,2689.0,R,26.0,R,74908.0,R,2881.0
1,100663,R,404.0,R,3348496.0,R,8288.0,R,127.0,R,1237848.0,R,9747.0,R,531.0,R,4586344.0,R,8637.0,R,26.0,R,77431.0,R,2978.0,R,16.0,R,44287.0,R,2768.0,R,42.0,R,121718.0,R,2898.0,R,302.0,R,2236517.0,R,7406.0,R,116.0,R,978962.0,R,8439.0,R,418.0,R,3215479.0,R,7693.0,R,28.0,R,75188.0,R,2685.0,R,6.0,R,10959.0,R,1827.0,R,34.0,R,86147.0,R,2534.0,R,315.0,R,2183878.0,R,6933.0,R,97.0,R,738455.0,R,7613.0,R,412.0,R,2922333.0,R,7093.0,R,14.0,R,32841.0,R,2346.0,R,4.0,R,9621.0,R,2405.0,R,18.0,R,42462.0,R,2359.0
2,100690,R,14.0,R,78158.0,R,5583.0,R,13.0,R,75270.0,R,5790.0,R,27.0,R,153428.0,R,5683.0,R,16.0,R,51000.0,R,3188.0,R,9.0,R,28500.0,R,3167.0,R,25.0,R,79500.0,R,3180.0,R,13.0,R,109115.0,R,8393.0,R,31.0,R,217144.0,R,7005.0,R,44.0,R,326259.0,R,7415.0,R,15.0,R,35500.0,R,2367.0,R,10.0,R,24350.0,R,2435.0,R,25.0,R,59850.0,R,2394.0,R,16.0,R,153051.0,R,9566.0,R,21.0,R,141373.0,R,6732.0,R,37.0,R,294424.0,R,7957.0,R,18.0,R,56500.0,R,3139.0,R,6.0,R,13500.0,R,2250.0,R,24.0,R,70000.0,R,2917.0
3,100706,R,308.0,R,2575083.0,R,8361.0,R,66.0,R,427246.0,R,6473.0,R,374.0,R,3002329.0,R,8028.0,R,5.0,R,10750.0,R,2150.0,R,1.0,R,750.0,R,750.0,R,6.0,R,11500.0,R,1917.0,R,283.0,R,2158346.0,R,7627.0,R,45.0,R,245521.0,R,5456.0,R,328.0,R,2403867.0,R,7329.0,R,17.0,R,41437.0,R,2437.0,R,3.0,R,4500.0,R,1500.0,R,20.0,R,45937.0,R,2297.0,R,246.0,R,2243907.0,R,9122.0,R,43.0,R,288188.0,R,6702.0,R,289.0,R,2532095.0,R,8762.0,R,10.0,R,23000.0,R,2300.0,R,1.0,R,1000.0,R,1000.0,R,11.0,R,24000.0,R,2182.0
4,100724,R,171.0,R,578291.0,R,3382.0,R,14.0,R,40069.0,R,2862.0,R,185.0,R,618360.0,R,3342.0,R,22.0,R,76642.0,R,3484.0,R,1.0,R,3000.0,R,3000.0,R,23.0,R,79642.0,R,3463.0,R,36.0,R,218112.0,R,6059.0,R,2.0,R,10191.0,R,5096.0,R,38.0,R,228303.0,R,6008.0,R,12.0,R,38752.0,R,3229.0,R,1.0,R,3000.0,R,3000.0,R,13.0,R,41752.0,R,3212.0,R,85.0,R,575318.0,R,6768.0,R,6.0,R,30898.0,R,5150.0,R,91.0,R,606216.0,R,6662.0,R,13.0,R,45086.0,R,3468.0,R,2.0,R,6500.0,R,3250.0,R,15.0,R,51586.0,R,3439.0
5,100751,R,972.0,R,12377132.0,R,12734.0,R,115.0,R,1105561.0,R,9614.0,R,1087.0,R,13482693.0,R,12404.0,R,73.0,R,280675.0,R,3845.0,R,15.0,R,34702.0,R,2313.0,R,88.0,R,315377.0,R,3584.0,R,847.0,R,9833175.0,R,11609.0,R,132.0,R,1115362.0,R,8450.0,R,979.0,R,10948537.0,R,11183.0,R,101.0,R,259182.0,R,2566.0,R,53.0,R,93423.0,R,1763.0,R,154.0,R,352605.0,R,2290.0,R,922.0,R,10736840.0,R,11645.0,R,127.0,R,1055150.0,R,8308.0,R,1049.0,R,11791990.0,R,11241.0,R,103.0,R,229900.0,R,2232.0,R,56.0,R,113625.0,R,2029.0,R,159.0,R,343525.0,R,2161.0
6,100760,R,37.0,R,94679.0,R,2559.0,A,,A,,A,,R,37.0,R,94679.0,R,2559.0,R,1.0,R,3510.0,R,3510.0,A,,A,,A,,R,1.0,R,3510.0,R,3510.0,R,28.0,R,82444.0,R,2944.0,A,,A,,A,,R,28.0,R,82444.0,R,2944.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,43.0,R,91462.0,R,2127.0,A,,A,,A,,R,43.0,R,91462.0,R,2127.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
7,100812,R,95.0,R,424633.0,R,4470.0,R,0.0,R,0.0,A,,R,95.0,R,424633.0,R,4470.0,R,64.0,R,79859.0,R,1248.0,R,11.0,R,20369.0,R,1852.0,R,75.0,R,100228.0,R,1336.0,R,113.0,R,439987.0,R,3894.0,A,,A,,A,,R,113.0,R,439987.0,R,3894.0,R,213.0,R,86698.0,R,407.0,A,,A,,A,,R,213.0,R,86698.0,R,407.0,R,98.0,R,375665.0,R,3833.0,R,0.0,R,0.0,A,,R,98.0,R,375665.0,R,3833.0,R,74.0,R,72662.0,R,982.0,R,0.0,R,0.0,A,,R,74.0,R,72662.0,R,982.0
8,100830,R,215.0,R,2946296.0,R,13704.0,R,3.0,R,9115.0,R,3038.0,R,218.0,R,2955411.0,R,13557.0,R,26.0,R,95635.0,R,3678.0,R,1.0,R,750.0,R,750.0,R,27.0,R,96385.0,R,3570.0,R,180.0,R,1206381.0,R,6702.0,R,21.0,R,90739.0,R,4321.0,R,201.0,R,1297120.0,R,6453.0,R,29.0,R,87318.0,R,3011.0,R,5.0,R,16693.0,R,3339.0,R,34.0,R,104011.0,R,3059.0,R,195.0,R,1683071.0,R,8631.0,R,12.0,R,40049.0,R,3337.0,R,207.0,R,1723120.0,R,8324.0,R,27.0,R,80356.0,R,2976.0,R,3.0,R,8311.0,R,2770.0,R,30.0,R,88667.0,R,2956.0
9,100858,R,617.0,R,7083721.0,R,11481.0,R,147.0,R,2107024.0,R,14333.0,R,764.0,R,9190745.0,R,12030.0,R,13.0,R,39884.0,R,3068.0,R,24.0,R,55750.0,R,2323.0,R,37.0,R,95634.0,R,2585.0,R,539.0,R,5358301.0,R,9941.0,R,143.0,R,2057515.0,R,14388.0,R,682.0,R,7415816.0,R,10874.0,R,20.0,R,59506.0,R,2975.0,R,26.0,R,88034.0,R,3386.0,R,46.0,R,147540.0,R,3207.0,R,599.0,R,6423334.0,R,10723.0,R,155.0,R,2373446.0,R,15313.0,R,754.0,R,8796780.0,R,11667.0,R,17.0,R,57742.0,R,3397.0,R,34.0,R,69697.0,R,2050.0,R,51.0,R,127439.0,R,2499.0
10,100937,R,23.0,R,575011.0,R,25000.0,A,,A,,A,,R,23.0,R,575011.0,R,25000.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,22.0,R,505471.0,R,22976.0,A,,A,,A,,R,22.0,R,505471.0,R,22976.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,30.0,R,560335.0,R,18678.0,A,,A,,A,,R,30.0,R,560335.0,R,18678.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
11,101028,R,261.0,R,215888.0,R,827.0,A,,A,,A,,R,261.0,R,215888.0,R,827.0,R,32.0,R,15069.0,R,471.0,A,,A,,A,,R,32.0,R,15069.0,R,471.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
12,101073,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
13,101116,R,27.0,R,513929.0,R,19034.0,R,5.0,R,86835.0,R,17367.0,R,32.0,R,600764.0,R,18774.0,R,5.0,R,7590.0,R,1518.0,R,0.0,R,0.0,A,,R,5.0,R,7590.0,R,1518.0,R,124.0,R,1290888.0,R,10410.0,R,19.0,R,168007.0,R,8842.0,R,143.0,R,1458895.0,R,10202.0,R,7.0,R,11920.0,R,1703.0,R,0.0,R,0.0,A,,R,7.0,R,11920.0,R,1703.0,R,73.0,R,1435344.0,R,19662.0,R,8.0,R,275881.0,R,34485.0,R,81.0,R,1711225.0,R,21126.0,R,4.0,R,9484.0,R,2371.0,R,0.0,R,0.0,A,,R,4.0,R,9484.0,R,2371.0
14,101143,R,97.0,R,292220.0,R,3013.0,A,,A,,A,,R,97.0,R,292220.0,R,3013.0,R,9.0,R,11318.0,R,1258.0,A,,A,,A,,R,9.0,R,11318.0,R,1258.0,R,93.0,R,214224.0,R,2303.0,A,,A,,A,,R,93.0,R,214224.0,R,2303.0,R,7.0,R,7712.0,R,1102.0,A,,A,,A,,R,7.0,R,7712.0,R,1102.0,R,114.0,R,358759.0,R,3147.0,A,,A,,A,,R,114.0,R,358759.0,R,3147.0,R,22.0,R,24411.0,R,1110.0,A,,A,,A,,R,22.0,R,24411.0,R,1110.0
15,101161,R,166.0,R,436590.0,R,2630.0,A,,A,,A,,R,166.0,R,436590.0,R,2630.0,R,10.0,R,14306.0,R,1431.0,A,,A,,A,,R,10.0,R,14306.0,R,1431.0,R,196.0,R,532895.0,R,2719.0,A,,A,,A,,R,196.0,R,532895.0,R,2719.0,R,9.0,R,10568.0,R,1174.0,A,,A,,A,,R,9.0,R,10568.0,R,1174.0,R,131.0,R,208957.0,R,1595.0,A,,A,,A,,R,131.0,R,208957.0,R,1595.0,R,4.0,R,5983.0,R,1496.0,A,,A,,A,,R,4.0,R,5983.0,R,1496.0
16,101189,R,128.0,R,1010891.0,R,7898.0,R,77.0,R,734525.0,R,9539.0,R,205.0,R,1745416.0,R,8514.0,R,23.0,R,58830.0,R,2558.0,R,6.0,R,18750.0,R,3125.0,R,29.0,R,77580.0,R,2675.0,R,147.0,R,1573868.0,R,10707.0,R,63.0,R,740644.0,R,11756.0,R,210.0,R,2314512.0,R,11021.0,R,30.0,R,89500.0,R,2983.0,R,5.0,R,9500.0,R,1900.0,R,35.0,R,99000.0,R,2829.0,R,214.0,R,931855.0,R,4354.0,R,115.0,R,480048.0,R,4174.0,R,329.0,R,1411903.0,R,4291.0,R,22.0,R,53422.0,R,2428.0,R,9.0,R,22020.0,R,2447.0,R,31.0,R,75442.0,R,2434.0
17,101240,R,109.0,R,282825.0,R,2595.0,A,,A,,A,,R,109.0,R,282825.0,R,2595.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,129.0,R,337732.0,R,2618.0,A,,A,,A,,R,129.0,R,337732.0,R,2618.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,125.0,R,351503.0,R,2812.0,A,,A,,A,,R,125.0,R,351503.0,R,2812.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
18,101277,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
19,101286,R,202.0,R,575547.0,R,2849.0,A,,A,,A,,R,202.0,R,575547.0,R,2849.0,R,11.0,R,17667.0,R,1606.0,A,,A,,A,,R,11.0,R,17667.0,R,1606.0,R,250.0,R,544503.0,R,2178.0,A,,A,,A,,R,250.0,R,544503.0,R,2178.0,R,22.0,R,31382.0,R,1426.0,A,,A,,A,,R,22.0,R,31382.0,R,1426.0,R,212.0,R,587168.0,R,2770.0,A,,A,,A,,R,212.0,R,587168.0,R,2770.0,R,11.0,R,12891.0,R,1172.0,A,,A,,A,,R,11.0,R,12891.0,R,1172.0
20,101295,R,126.0,R,550009.0,R,4365.0,A,,A,,A,,R,126.0,R,550009.0,R,4365.0,R,3.0,R,2574.0,R,858.0,A,,A,,A,,R,3.0,R,2574.0,R,858.0,R,117.0,R,509454.0,R,4354.0,A,,A,,A,,R,117.0,R,509454.0,R,4354.0,R,5.0,R,5424.0,R,1085.0,A,,A,,A,,R,5.0,R,5424.0,R,1085.0,R,114.0,R,477176.0,R,4186.0,A,,A,,A,,R,114.0,R,477176.0,R,4186.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
21,101301,R,5.0,R,9000.0,R,1800.0,A,,A,,A,,R,5.0,R,9000.0,R,1800.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,15.0,R,18008.0,R,1201.0,A,,A,,A,,R,15.0,R,18008.0,R,1201.0,R,1.0,R,2323.0,R,2323.0,A,,A,,A,,R,1.0,R,2323.0,R,2323.0,R,12.0,R,21620.0,R,1802.0,A,,A,,A,,R,12.0,R,21620.0,R,1802.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
22,101365,R,26.0,R,259962.0,R,9999.0,R,1.0,R,2138.0,R,2138.0,R,27.0,R,262100.0,R,9707.0,R,2.0,R,7750.0,R,3875.0,R,0.0,R,0.0,A,,R,2.0,R,7750.0,R,3875.0,R,19.0,R,129295.0,R,6805.0,R,1.0,R,1500.0,R,1500.0,R,20.0,R,130795.0,R,6540.0,R,3.0,R,8420.0,R,2807.0,R,0.0,R,0.0,A,,R,3.0,R,8420.0,R,2807.0,R,23.0,R,131536.0,R,5719.0,R,1.0,R,2559.0,R,2559.0,R,24.0,R,134095.0,R,5587.0,R,1.0,R,375.0,R,375.0,R,0.0,R,0.0,A,,R,1.0,R,375.0,R,375.0
23,101435,R,42.0,R,680228.0,R,16196.0,A,,A,,A,,R,42.0,R,680228.0,R,16196.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,49.0,R,748558.0,R,15277.0,A,,A,,A,,R,49.0,R,748558.0,R,15277.0,R,3.0,R,5250.0,R,1750.0,A,,A,,A,,R,3.0,R,5250.0,R,1750.0,R,50.0,R,706339.0,R,14127.0,A,,A,,A,,R,50.0,R,706339.0,R,14127.0,R,3.0,R,3000.0,R,1000.0,A,,A,,A,,R,3.0,R,3000.0,R,1000.0
24,101453,R,2.0,R,9137.0,R,4569.0,R,0.0,R,0.0,A,,R,2.0,R,9137.0,R,4569.0,R,0.0,R,0.0,A,,R,1.0,R,1881.0,R,1881.0,R,1.0,R,1881.0,R,1881.0,R,4.0,R,12946.0,R,3237.0,R,0.0,R,0.0,A,,R,4.0,R,12946.0,R,3237.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,5.0,R,16662.0,R,3332.0,R,1.0,R,1285.0,R,1285.0,R,6.0,R,17947.0,R,2991.0,R,0.0,R,0.0,A,,R,1.0,R,2635.0,R,2635.0,R,1.0,R,2635.0,R,2635.0
25,101462,R,44.0,R,140673.0,R,3197.0,A,,A,,A,,R,44.0,R,140673.0,R,3197.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,54.0,R,151946.0,R,2814.0,A,,A,,A,,R,54.0,R,151946.0,R,2814.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,39.0,R,116460.0,R,2986.0,A,,A,,A,,R,39.0,R,116460.0,R,2986.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
26,101471,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
27,101480,R,122.0,R,769649.0,R,6309.0,R,28.0,R,127661.0,R,4559.0,R,150.0,R,897310.0,R,5982.0,R,16.0,R,57750.0,R,3609.0,R,4.0,R,7500.0,R,1875.0,R,20.0,R,65250.0,R,3263.0,R,158.0,R,838973.0,R,5310.0,R,27.0,R,137256.0,R,5084.0,R,185.0,R,976229.0,R,5277.0,R,31.0,R,98250.0,R,3169.0,R,5.0,R,9000.0,R,1800.0,R,36.0,R,107250.0,R,2979.0,R,134.0,R,765928.0,R,5716.0,R,29.0,R,142373.0,R,4909.0,R,163.0,R,908301.0,R,5572.0,R,14.0,R,40043.0,R,2860.0,R,5.0,R,13250.0,R,2650.0,R,19.0,R,53293.0,R,2805.0
28,101499,R,12.0,R,19690.0,R,1641.0,A,,A,,A,,R,12.0,R,19690.0,R,1641.0,R,1.0,R,1638.0,R,1638.0,A,,A,,A,,R,1.0,R,1638.0,R,1638.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
29,101505,R,140.0,R,367927.0,R,2628.0,A,,A,,A,,R,140.0,R,367927.0,R,2628.0,R,3.0,R,4797.0,R,1599.0,A,,A,,A,,R,3.0,R,4797.0,R,1599.0,R,151.0,R,387280.0,R,2565.0,A,,A,,A,,R,151.0,R,387280.0,R,2565.0,R,14.0,R,22261.0,R,1590.0,A,,A,,A,,R,14.0,R,22261.0,R,1590.0,R,147.0,R,395104.0,R,2688.0,A,,A,,A,,R,147.0,R,395104.0,R,2688.0,R,7.0,R,8740.0,R,1249.0,A,,A,,A,,R,7.0,R,8740.0,R,1249.0
30,101514,R,278.0,R,804116.0,R,2893.0,A,,A,,A,,R,278.0,R,804116.0,R,2893.0,R,9.0,R,12285.0,R,1365.0,A,,A,,A,,R,9.0,R,12285.0,R,1365.0,R,275.0,R,754158.0,R,2742.0,A,,A,,A,,R,275.0,R,754158.0,R,2742.0,R,7.0,R,9826.0,R,1404.0,A,,A,,A,,R,7.0,R,9826.0,R,1404.0,R,260.0,R,720659.0,R,2772.0,A,,A,,A,,R,260.0,R,720659.0,R,2772.0,R,9.0,R,13924.0,R,1547.0,A,,A,,A,,R,9.0,R,13924.0,R,1547.0
31,101541,R,5.0,R,76422.0,R,15284.0,A,,A,,A,,R,5.0,R,76422.0,R,15284.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,12.0,R,131880.0,R,10990.0,A,,A,,A,,R,12.0,R,131880.0,R,10990.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,5.0,R,84278.0,R,16856.0,A,,A,,A,,R,5.0,R,84278.0,R,16856.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
32,101569,R,67.0,R,208532.0,R,3112.0,A,,A,,A,,R,67.0,R,208532.0,R,3112.0,R,14.0,R,21029.0,R,1502.0,A,,A,,A,,R,14.0,R,21029.0,R,1502.0,R,69.0,R,190409.0,R,2760.0,A,,A,,A,,R,69.0,R,190409.0,R,2760.0,R,5.0,R,9676.0,R,1935.0,A,,A,,A,,R,5.0,R,9676.0,R,1935.0,R,76.0,R,197781.0,R,2602.0,A,,A,,A,,R,76.0,R,197781.0,R,2602.0,R,16.0,R,19748.0,R,1234.0,A,,A,,A,,R,16.0,R,19748.0,R,1234.0
33,101587,R,34.0,R,182417.0,R,5365.0,R,18.0,R,66593.0,R,3700.0,R,52.0,R,249010.0,R,4789.0,R,11.0,R,17643.0,R,1604.0,R,5.0,R,9037.0,R,1807.0,R,16.0,R,26680.0,R,1668.0,R,30.0,R,196272.0,R,6542.0,R,24.0,R,91616.0,R,3817.0,R,54.0,R,287888.0,R,5331.0,R,5.0,R,6908.0,R,1382.0,R,3.0,R,2250.0,R,750.0,R,8.0,R,9158.0,R,1145.0,R,39.0,R,224025.0,R,5744.0,R,18.0,R,65703.0,R,3650.0,R,57.0,R,289728.0,R,5083.0,R,4.0,R,10617.0,R,2654.0,R,2.0,R,4500.0,R,2250.0,R,6.0,R,15117.0,R,2520.0
34,101602,R,37.0,R,122648.0,R,3315.0,A,,A,,A,,R,37.0,R,122648.0,R,3315.0,R,2.0,R,2808.0,R,1404.0,A,,A,,A,,R,2.0,R,2808.0,R,1404.0,R,34.0,R,83080.0,R,2444.0,A,,A,,A,,R,34.0,R,83080.0,R,2444.0,R,2.0,R,2034.0,R,1017.0,A,,A,,A,,R,2.0,R,2034.0,R,1017.0,R,36.0,R,127910.0,R,3553.0,A,,A,,A,,R,36.0,R,127910.0,R,3553.0,R,3.0,R,5202.0,R,1734.0,A,,A,,A,,R,3.0,R,5202.0,R,1734.0
35,101648,R,12.0,R,77875.0,R,6490.0,A,,A,,A,,R,12.0,R,77875.0,R,6490.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,10.0,R,50776.0,R,5078.0,A,,A,,A,,R,10.0,R,50776.0,R,5078.0,R,2.0,R,6500.0,R,3250.0,A,,A,,A,,R,2.0,R,6500.0,R,3250.0,R,9.0,R,57845.0,R,6427.0,A,,A,,A,,R,9.0,R,57845.0,R,6427.0,R,2.0,R,6167.0,R,3084.0,A,,A,,A,,R,2.0,R,6167.0,R,3084.0
36,101675,R,21.0,R,183025.0,R,8715.0,A,,A,,A,,R,21.0,R,183025.0,R,8715.0,R,2.0,R,6000.0,R,3000.0,A,,A,,A,,R,2.0,R,6000.0,R,3000.0,R,32.0,R,267026.0,R,8345.0,A,,A,,A,,R,32.0,R,267026.0,R,8345.0,R,3.0,R,7500.0,R,2500.0,A,,A,,A,,R,3.0,R,7500.0,R,2500.0,R,20.0,R,186641.0,R,9332.0,A,,A,,A,,R,20.0,R,186641.0,R,9332.0,R,1.0,R,3750.0,R,3750.0,A,,A,,A,,R,1.0,R,3750.0,R,3750.0
37,101693,R,50.0,R,690108.0,R,13802.0,R,8.0,R,43055.0,R,5382.0,R,58.0,R,733163.0,R,12641.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,59.0,R,775315.0,R,13141.0,R,3.0,R,15289.0,R,5096.0,R,62.0,R,790604.0,R,12752.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,49.0,R,665316.0,R,13578.0,R,4.0,R,25597.0,R,6399.0,R,53.0,R,690913.0,R,13036.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,
38,101709,R,59.0,R,548024.0,R,9289.0,R,3.0,R,19155.0,R,6385.0,R,62.0,R,567179.0,R,9148.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,53.0,R,484165.0,R,9135.0,R,7.0,R,33311.0,R,4759.0,R,60.0,R,517476.0,R,8625.0,R,5.0,R,13000.0,R,2600.0,R,0.0,R,0.0,A,,R,5.0,R,13000.0,R,2600.0,R,66.0,R,467060.0,R,7077.0,R,5.0,R,16280.0,R,3256.0,R,71.0,R,483340.0,R,6808.0,R,1.0,R,2500.0,R,2500.0,R,0.0,R,0.0,A,,R,1.0,R,2500.0,R,2500.0
39,101736,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
40,101879,R,120.0,R,843804.0,R,7032.0,R,38.0,R,115991.0,R,3052.0,R,158.0,R,959795.0,R,6075.0,R,5.0,R,14329.0,R,2866.0,R,4.0,R,12000.0,R,3000.0,R,9.0,R,26329.0,R,2925.0,R,155.0,R,1024147.0,R,6607.0,R,13.0,R,31658.0,R,2435.0,R,168.0,R,1055805.0,R,6285.0,R,20.0,R,42424.0,R,2121.0,R,0.0,R,0.0,A,,R,20.0,R,42424.0,R,2121.0,R,154.0,R,949503.0,R,6166.0,R,24.0,R,30863.0,R,1286.0,R,178.0,R,980366.0,R,5508.0,R,11.0,R,36676.0,R,3334.0,R,4.0,R,6500.0,R,1625.0,R,15.0,R,43176.0,R,2878.0
