,UNITID,XUGPO9_N_1617,UGPO9_N_1617,XUGPO9_T_1617,UGPO9_T_1617,XUGPO9_A_1617,UGPO9_A_1617,XGPO9_N_1617,GPO9_N_1617,XGPO9_T_1617,GPO9_T_1617,XGPO9_A_1617,GPO9_A_1617,XPO9_N_1617,PO9_N_1617,XPO9_T_1617,PO9_T_1617,XPO9_A_1617,PO9_A_1617,XUGDOD_N_1617,UGDOD_N_1617,XUGDOD_T_1617,UGDOD_T_1617,XUGDOD_A_1617,UGDOD_A_1617,XGDOD_N_1617,GDOD_N_1617,XGDOD_T_1617,GDOD_T_1617,XGDOD_A_1617,GDOD_A_1617,XDOD_N_1617,DOD_N_1617,XDOD_T_1617,DOD_T_1617,XDOD_A_1617,DOD_A   _1617,XUGPO9_N_1415,UGPO9_N_1415,XUGPO9_T_1415,UGPO9_T_1415,XUGPO9_A_1415,UGPO9_A_1415,XGPO9_N_1415,GPO9_N_1415,XGPO9_T_1415,GPO9_T_1415,XGPO9_A_1415,GPO9_A_1415,XPO9_N_1415,PO9_N_1415,XPO9_T_1415,PO9_T_1415,XPO9_A_1415,PO9_A_1415,XUGDOD_N_1415,UGDOD_N_1415,XUGDOD_T_1415,UGDOD_T_1415,XUGDOD_A_1415,UGDOD_A_1415,XGDOD_N_1415,GDOD_N_1415,XGDOD_T_1415,GDOD_T_1415,XGDOD_A_1415,GDOD_A_1415,XDOD_N_1415,DOD_N_1415,XDOD_T_1415,DOD_T_1415,XDOD_A_1415,DOD_A   _1415,XUGPO9_N_1516,UGPO9_N_1516,XUGPO9_T_1516,UGPO9_T_1516,XUGPO9_A_1516,UGPO9_A_1516,XGPO9_N_1516,GPO9_N_1516,XGPO9_T_1516,GPO9_T_1516,XGPO9_A_1516,GPO9_A_1516,XPO9_N_1516,PO9_N_1516,XPO9_T_1516,PO9_T_1516,XPO9_A_1516,PO9_A_1516,XUGDOD_N_1516,UGDOD_N_1516,XUGDOD_T_1516,UGDOD_T_1516,XUGDOD_A_1516,UGDOD_A_1516,XGDOD_N_1516,GDOD_N_1516,XGDOD_T_1516,GDOD_T_1516,XGDOD_A_1516,GDOD_A_1516,XDOD_N_1516,DOD_N_1516,XDOD_T_1516,DOD_T_1516,XDOD_A_1516,DOD_A   _1516
1763,174127,R,17.0,R,126816.0,R,7460.0,R,0.0,R,0.0,A,,R,17.0,R,126816.0,R,7460.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,11.0,R,247003.0,R,22455.0,R,0.0,R,0.0,A,,R,11.0,R,247003.0,R,22455.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,20.0,R,358442.0,R,17922.0,R,0.0,R,0.0,A,,R,20.0,R,358442.0,R,17922.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,
1764,174136,R,102.0,R,310628.0,R,3045.0,A,,A,,A,,R,102.0,R,310628.0,R,3045.0,R,1.0,R,1785.0,R,1785.0,A,,A,,A,,R,1.0,R,1785.0,R,1785.0,R,59.0,R,114501.0,R,1941.0,A,,A,,A,,R,59.0,R,114501.0,R,1941.0,R,7.0,R,10157.0,R,1451.0,A,,A,,A,,R,7.0,R,10157.0,R,1451.0,R,113.0,R,341519.0,R,3022.0,A,,A,,A,,R,113.0,R,341519.0,R,3022.0,R,9.0,R,10985.0,R,1221.0,A,,A,,A,,R,9.0,R,10985.0,R,1221.0
1765,174154,R,11.0,R,181349.0,R,16486.0,R,0.0,R,0.0,A,,R,11.0,R,181349.0,R,16486.0,R,1.0,R,3000.0,R,3000.0,R,0.0,R,0.0,A,,R,1.0,R,3000.0,R,3000.0,R,11.0,R,132702.0,R,12064.0,A,,A,,A,,R,11.0,R,132702.0,R,12064.0,R,2.0,R,7250.0,R,3625.0,A,,A,,A,,R,2.0,R,7250.0,R,3625.0,R,11.0,R,167111.0,R,15192.0,A,,A,,A,,R,11.0,R,167111.0,R,15192.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
1766,174190,R,1.0,R,500.0,R,500.0,A,,A,,A,,R,1.0,R,500.0,R,500.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,4.0,R,58182.0,R,14546.0,A,,A,,A,,R,4.0,R,58182.0,R,14546.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
1767,174233,R,122.0,R,1239728.0,R,10162.0,R,7.0,R,123810.0,R,17687.0,R,129.0,R,1363538.0,R,10570.0,R,4.0,R,3762.0,R,941.0,R,1.0,R,1449.0,R,1449.0,R,5.0,R,5211.0,R,1042.0,R,124.0,R,1103341.0,R,8898.0,R,8.0,R,106397.0,R,13300.0,R,132.0,R,1209738.0,R,9165.0,R,10.0,R,18811.0,R,1881.0,R,0.0,R,0.0,A,,R,10.0,R,18811.0,R,1881.0,R,117.0,R,1096740.0,R,9374.0,R,7.0,R,79585.0,R,11369.0,R,124.0,R,1176325.0,R,9486.0,R,5.0,R,11888.0,R,2378.0,R,1.0,R,1399.0,R,1399.0,R,6.0,R,13287.0,R,2215.0
1768,174251,R,10.0,R,94358.0,R,9436.0,A,,A,,A,,R,10.0,R,94358.0,R,9436.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,15.0,R,120967.0,R,8064.0,A,,A,,A,,R,15.0,R,120967.0,R,8064.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,17.0,R,178340.0,R,10491.0,A,,A,,A,,R,17.0,R,178340.0,R,10491.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
1769,174321,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,1.0,R,15970.0,R,15970.0,A,,A,,A,,R,1.0,R,15970.0,R,15970.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
1770,174358,R,92.0,R,445253.0,R,4840.0,R,5.0,R,13272.0,R,2654.0,R,97.0,R,458525.0,R,4727.0,R,10.0,R,31090.0,R,3109.0,R,1.0,R,750.0,R,750.0,R,11.0,R,31840.0,R,2895.0,R,76.0,R,437880.0,R,5762.0,R,6.0,R,22759.0,R,3793.0,R,82.0,R,460639.0,R,5618.0,R,11.0,R,26720.0,R,2429.0,R,1.0,R,1750.0,R,1750.0,R,12.0,R,28470.0,R,2373.0,R,69.0,R,377191.0,R,5467.0,R,11.0,R,63639.0,R,5785.0,R,80.0,R,440830.0,R,5510.0,R,7.0,R,22937.0,R,3277.0,R,0.0,R,0.0,A,,R,7.0,R,22937.0,R,3277.0
1771,174376,R,118.0,R,311430.0,R,2639.0,A,,A,,A,,R,118.0,R,311430.0,R,2639.0,R,22.0,R,30646.0,R,1393.0,A,,A,,A,,R,22.0,R,30646.0,R,1393.0,R,90.0,R,268264.0,R,2981.0,A,,A,,A,,R,90.0,R,268264.0,R,2981.0,R,3.0,R,4560.0,R,1520.0,A,,A,,A,,R,3.0,R,4560.0,R,1520.0,R,118.0,R,334284.0,R,2833.0,A,,A,,A,,R,118.0,R,334284.0,R,2833.0,R,13.0,R,16152.0,R,1242.0,A,,A,,A,,R,13.0,R,16152.0,R,1242.0
1772,174385,R,6.0,R,56275.0,R,9379.0,A,,A,,A,,R,6.0,R,56275.0,R,9379.0,R,2.0,R,4955.0,R,2478.0,A,,A,,A,,R,2.0,R,4955.0,R,2478.0,R,13.0,R,111759.0,R,8597.0,A,,A,,A,,R,13.0,R,111759.0,R,8597.0,R,4.0,R,11095.0,R,2774.0,A,,A,,A,,R,4.0,R,11095.0,R,2774.0,R,9.0,R,89115.0,R,9902.0,A,,A,,A,,R,9.0,R,89115.0,R,9902.0,R,2.0,R,4316.0,R,2158.0,A,,A,,A,,R,2.0,R,4316.0,R,2158.0
