INSTNM,AWLEVEL,LATITUDE,LONGITUD,distance (in miles),CTOTALT_2018,CTOTALT_2017,CTOTALT_2016,CTOTALT_2015,CTOTALT_2014,Avg_completion_5yrs,STUFACR _2017,EFYTOTLT_2018,EFYTOTLT_2017,EFYTOTLT_2016,EFYTOTLT_2015,EFYTOTLT_2014,Avg_12mEnroll_5yrs,CDACTUA_2017,CDACTUA_2017,CDACTUA_2016,CDACTUA_2015,CDACTUA_2014,Avg_12mEnrollInst_5yrs,FTEUG_2018,FTEUG_2017,FTEUG_2016,FTEUG_2015,FTEUG_2014,Avg_12mEnrollfte_5yrs,EFTOTLT_2017,EFTOTLT_2016,EFTOTLT_2015,EFTOTLT_2014,EFTOTLT_2013,Avg_FallEnroll_efatotal_5yrs,APPLCN_2017,ADMSSN_2017,ENRLT_2017,ENRLFT_2017,ENRLPT_2017,ACTMT25_2017,SATMT75_2017,SATMT25_2017,ACTMT75 _2017,UPGRNTN_1617,UPGRNTP_1617,UPGRNTT_1617,UPGRNTA_1617,UFLOANN_1617,UFLOANP_1617,UFLOANT_1617,UFLOANA_1617,GISTT2_1617,GISTA2_1617,GISTT1_1617,GISTA1_1617,GISTT0_1617,GISTA0_1617,GIS4T2_1617,GIS4A2_1617,GIS4N22_1617,GIS4G22_1617,GIS4T22_1617,GIS4A22_1617,GIS4N32_1617,GIS4G32_1617,GIS4T32_1617,GIS4A32_1617,GIS4N42_1617,GIS4G42_1617,GIS4T42_1617,GIS4A42_1617,NPGRN2_1617,NPGRN1_1617,NPGRN0_1617,NPT412_1617,NPT422_1617,NPT432_1617,NPT442_1617,NPT452_1617,NPT411_1617,NPT421_1617,NPT431_1617,NPT441_1617,NPT451_1617,NPT410_1617,NPT420_1617,NPT430_1617,NPT440_1617,NPT450  _1617
Broward College,5,26.119422,-80.14183,24.86830451655035,117.0,86.0,97.0,98.0,98.0,99.2,27.0,60896.0,62013.0,63024.0,63389.0,62508.0,62366.0,878728.0,878728.0,895229.0,894803.0,911117.0,887174.2,28912.0,29764.0,30311.0,30345.0,30835.0,30033.4,40754.0,43700.0,43078.0,44119.0,43883.0,43106.8,,,,,,,,,,21595.0,49.0,71045177.0,3290.0,6345.0,15.0,21268961.0,3352.0,12872474.0,4881.0,15457734.0,4840.0,15388526.0,5089.0,10832665.0,4212.0,583.0,572.0,2486366.0,4265.0,354.0,317.0,979704.0,2768.0,104.0,36.0,76858.0,739.0,,,,,,,,,,,,,,,,,,
Brown Mackie College-Miami,3,25.973847,-80.350723,11.273295260656855,,6.0,57.0,152.0,124.0,84.75,18.0,,230.0,631.0,1128.0,1500.0,872.25,5563.0,5563.0,17296.0,32970.0,40912.0,24185.25,,124.0,384.0,733.0,909.0,537.5,121.0,184.0,476.0,919.0,953.0,530.6,,,,,,,,,,128.0,70.0,451328.0,3526.0,132.0,72.0,1119888.0,8484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Career College-Miami,3,25.756567,-80.36778000000002,3.9449691790868653,,,,,84.0,84.0,15.0,824.0,644.0,483.0,556.0,9902.0,2481.8,15456.0,15456.0,11592.0,13344.0,292031.0,70439.8,659.0,515.0,386.0,445.0,9869.0,2374.8,502.0,340.0,278.0,6227.0,5818.0,2633.0,,,,,,,,,,480.0,75.0,1763420.0,3674.0,404.0,63.0,2993491.0,7410.0,,,,,,,,,,,,,,,,,,,,,30757.0,31886.0,41273.0,30646.0,31146.0,33530.0,34546.0,34546.0,31950.0,32277.0,,,,41450.0,41497.0,44494.0,,
Florida National University-Main Campus,3,25.86178,-80.321846,3.8763598230943375,66.0,39.0,27.0,113.0,169.0,82.8,31.0,6909.0,6914.0,5901.0,5405.0,5588.0,6143.4,153798.0,153798.0,128958.0,119172.0,123162.0,135770.4,5125.0,5127.0,4299.0,3972.0,4105.0,4525.6,4023.0,3191.0,2456.0,2376.0,2420.0,2893.2,,,,,,,,,,2380.0,75.0,13372392.0,5619.0,2255.0,71.0,23809850.0,10559.0,,,,,,,,,,,,,,,,,,,,,20995.0,20361.0,20019.0,21026.0,21783.0,23385.0,,,20274.0,20328.0,23109.0,,,19590.0,19621.0,21938.0,,
Florida National University-Main Campus,5,25.86178,-80.321846,3.8763598230943375,122.0,118.0,80.0,41.0,28.0,77.8,31.0,6909.0,6914.0,5901.0,5405.0,5588.0,6143.4,153798.0,153798.0,128958.0,119172.0,123162.0,135770.4,5125.0,5127.0,4299.0,3972.0,4105.0,4525.6,4023.0,3191.0,2456.0,2376.0,2420.0,2893.2,,,,,,,,,,2380.0,75.0,13372392.0,5619.0,2255.0,71.0,23809850.0,10559.0,,,,,,,,,,,,,,,,,,,,,20995.0,20361.0,20019.0,21026.0,21783.0,23385.0,,,20274.0,20328.0,23109.0,,,19590.0,19621.0,21938.0,,
Keiser University-Ft Lauderdale,5,26.185869,-80.16395899999998,28.32011717475113,110.0,79.0,83.0,48.0,43.0,72.6,12.0,31911.0,31711.0,32937.0,31000.0,32135.0,31938.8,793224.0,793224.0,607862.0,614007.0,624170.0,686701.8,26475.0,26441.0,20262.0,20467.0,20806.0,22890.2,18630.0,18172.0,15310.0,18101.0,16039.0,17250.4,,,,,,,,,,10480.0,61.0,43035939.0,4106.0,11939.0,69.0,126074745.0,10560.0,,,,,,,,,,,,,,,,,,,,,26730.0,27516.0,27190.0,28809.0,29097.0,30854.0,32056.0,32111.0,27386.0,28025.0,29572.0,30820.0,31158.0,28372.0,28893.0,29966.0,30683.0,30922.0
Concorde Career Institute-Miramar,3,25.977088,-80.291516,12.01346268430719,76.0,31.0,15.0,47.0,55.0,44.8,32.0,951.0,930.0,855.0,868.0,926.0,906.0,6018.0,6018.0,7308.0,6337.0,6616.0,6794.4,419.0,368.0,455.0,406.0,480.0,425.6,528.0,551.0,467.0,640.0,508.0,538.8,436.0,327.0,114.0,114.0,,,,,,616.0,66.0,2035934.0,3305.0,676.0,73.0,3798793.0,5620.0,,,,,,,,,,,,,,,,,,,,,26953.0,23620.0,23559.0,27107.0,29239.0,29977.0,30151.0,30639.0,25674.0,27824.0,29231.0,29616.0,29832.0,24669.0,28826.0,28493.0,28826.0,28826.0
Florida Career College-Lauderdale Lakes,3,26.16574,-80.205267,26.07545974736538,38.0,34.0,55.0,35.0,,40.5,15.0,1334.0,1390.0,1272.0,1090.0,,1271.5,33360.0,33360.0,30528.0,26160.0,,30516.0,1067.0,1112.0,1018.0,872.0,,1017.25,785.0,831.0,691.0,,,769.0,,,,,,,,,,593.0,71.0,2356913.0,3975.0,414.0,50.0,3152180.0,7614.0,,,,,,,,,,,,,,,,,,,,,25502.0,27616.0,42901.0,25592.0,25106.0,28454.0,30629.0,29629.0,27652.0,27200.0,28552.0,,,43283.0,43203.0,45566.0,,
West Coast University-Miami,5,25.81071,-80.347651,0.0,130.0,52.0,0.0,0.0,0.0,36.4,14.0,1085.0,748.0,514.0,252.0,15.0,522.8,16482.0,16482.0,10333.0,3493.0,73.0,10467.0,732.0,549.0,344.0,116.0,2.0,348.6,687.0,485.0,263.0,46.0,,370.25,13.0,13.0,7.0,7.0,0.0,,,,,332.0,68.0,1333243.0,4016.0,456.0,94.0,4349929.0,9539.0,,,,,,,,,,,,,,,,,,,,,27504.0,35845.0,32216.0,27570.0,27103.0,,,,35845.0,,,,,32216.0,,,,
Fortis College-Cutler Bay,3,25.585653,-80.36399499999997,15.583195246889918,36.0,36.0,,,,36.0,24.0,415.0,418.0,,,,416.5,12540.0,12540.0,,,,12495.0,415.0,418.0,,,,416.5,283.0,,,,,283.0,,,,,,,,,,223.0,69.0,860942.0,3861.0,245.0,76.0,2108512.0,8606.0,,,,,,,,,,,,,,,,,,,,,25673.0,,,25878.0,26497.0,,30292.0,,,,,,,,,,,
Universal Career School,3,25.767091,-80.37011700000002,3.322094172422028,67.0,0.0,,,,33.5,29.0,236.0,301.0,163.0,144.0,148.0,198.4,1140.0,1140.0,735.0,,,2415.0,234.0,263.0,139.0,124.0,148.0,181.6,231.0,204.0,126.0,137.0,133.0,166.2,,,,,,,,,,168.0,56.0,976920.0,5815.0,185.0,61.0,1202500.0,6500.0,,,,,,,,,,,,,,,,,,,,,19700.0,19740.0,19785.0,19700.0,,,,,19740.0,,,,,19785.0,,,,
Florida Career College-Kendall,3,25.691021,-80.383298,8.562085807467495,,,27.0,27.0,,27.0,,,,196.0,619.0,,407.5,,,4704.0,14856.0,,9780.0,,,157.0,495.0,,326.0,,25.0,174.0,,,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITT Technical Institute-Fort Lauderdale,3,26.078932,-80.252324,19.45573588480266,,,,33.0,20.0,26.5,,,,,1007.0,1064.0,1035.5,,,,25496.0,25761.0,25628.5,,,,567.0,572.0,569.5,,,532.0,552.0,531.0,538.3333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City College-Fort Lauderdale,3,26.187467,-80.1705,28.2605894791754,,9.0,17.0,24.0,48.0,24.5,11.0,565.0,675.0,780.0,893.0,950.0,772.6,17247.0,17247.0,19516.0,22190.0,24907.0,19731.6,329.0,383.0,434.0,493.0,553.0,438.4,401.0,438.0,490.0,575.0,633.0,507.4,,,,,,,,,,307.0,70.0,1026343.0,3343.0,350.0,80.0,2857949.0,8166.0,,,,,,,,,,,,,,,,,,,,,21864.0,20582.0,22727.0,22087.0,19429.0,,,25175.0,20730.0,21796.0,,,,22545.0,23268.0,28208.0,,
Med-Life Institute-Lauderdale Lakes,3,26.175133,-80.20294799999998,26.73484963240435,70.0,0.0,1.0,,,23.666666666666668,10.0,79.0,72.0,104.0,,,85.0,1500.0,1500.0,364.0,,,1021.3333333333334,40.0,50.0,32.0,,,40.666666666666664,79.0,54.0,,,,66.5,0.0,,,,,,,,,41.0,76.0,114912.0,2803.0,41.0,76.0,72851.0,1777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITT Technical Institute-Hialeah,3,25.94018,-80.296001,9.504316284397316,,,,22.0,22.0,22.0,,,,,735.0,747.0,741.0,,,,15939.0,17493.0,16716.0,,,,354.0,389.0,371.5,,,333.0,335.0,417.0,361.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City College-Miami,3,25.683673,-80.316377,8.99060491192882,10.0,6.0,14.0,19.0,40.0,17.8,10.0,293.0,392.0,487.0,447.0,416.0,407.0,10093.0,10093.0,11982.0,11436.0,12353.0,10430.6,140.0,224.0,266.0,254.0,275.0,231.8,186.0,266.0,251.0,263.0,283.0,249.8,,,,,,,,,,198.0,74.0,808539.0,4084.0,222.0,83.0,1771501.0,7980.0,,,,,,,,,,,,,,,,,,,,,17424.0,19367.0,17505.0,16902.0,23478.0,,,,18087.0,21211.0,24603.0,24603.0,,16430.0,16454.0,18599.0,22389.0,
Florida Career College,3,26.010968,-80.246116,15.207454202776525,32.0,20.0,15.0,2.0,,17.25,15.0,1141.0,967.0,685.0,773.0,,891.5,23208.0,23208.0,16440.0,18552.0,,21396.0,913.0,774.0,548.0,618.0,,713.25,650.0,529.0,361.0,,,513.3333333333334,,,,,,,,,,360.0,68.0,1445226.0,4015.0,267.0,51.0,2207247.0,8267.0,,,,,,,,,,,,,,,,,,,,,26057.0,28300.0,45913.0,25947.0,27125.0,28320.0,30792.0,,28305.0,28452.0,29985.0,32272.0,,46544.0,45941.0,48481.0,50044.0,
Miami Regional University,5,25.810667,-80.26700699999998,5.01609049550258,29.0,22.0,0.0,0.0,,12.75,13.0,1271.0,1260.0,1770.0,1208.0,1156.0,1333.0,37800.0,37800.0,31620.0,32932.0,37802.0,31133.2,517.0,1260.0,1054.0,1098.0,1260.0,1037.8,638.0,1017.0,943.0,708.0,822.0,825.6,470.0,396.0,396.0,122.0,274.0,,,,,399.0,32.0,1387708.0,3478.0,741.0,59.0,4511369.0,6088.0,,,,,,,,,,,,,,,,,,,,,26132.0,30232.0,26875.0,20252.0,20501.0,20806.0,20842.0,15499.0,21412.0,24877.0,25142.0,,,21287.0,24299.0,24562.0,24562.0,
Orion College,3,26.17005,-80.202496,26.41398185158255,,6.0,25.0,15.0,4.0,12.5,25.0,,353.0,514.0,717.0,988.0,643.0,10741.0,10741.0,14241.0,19460.0,31437.0,18969.75,,358.0,475.0,649.0,1048.0,632.5,136.0,221.0,336.0,441.0,632.0,353.2,,,,,,,,,,195.0,89.0,1039833.0,5332.0,209.0,96.0,1881828.0,9004.0,,,,,,,,,,,,,,,,,,,,,18650.0,18726.0,18051.0,18727.0,17909.0,23174.0,,,18726.0,,,,,17839.0,16850.0,,,
American Medical Academy,3,25.66273,-80.393361,10.612856868797344,15.0,12.0,0.0,,,9.0,6.0,769.0,665.0,642.0,502.0,471.0,609.8,1344.0,1344.0,267.0,402.0,582.0,1003.6,381.0,316.0,276.0,220.0,243.0,287.2,371.0,246.0,318.0,247.0,343.0,305.0,,,,,,,,,,152.0,23.0,511065.0,3362.0,188.0,28.0,1325332.0,7050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope College of Arts and Sciences,3,26.226156,-80.13967099999998,31.475586671997537,6.0,2.0,0.0,,,2.6666666666666665,9.0,137.0,131.0,107.0,,,125.0,170.0,170.0,180.0,,,573.3333333333334,114.0,106.0,107.0,,,109.0,120.0,103.0,,,,111.5,,,,,,,,,,90.0,69.0,232297.0,2581.0,98.0,75.0,612232.0,6247.0,,,,,,,,,,,,,,,,,,,,,27564.0,,,27974.0,,,,,,,,,,,,,,
St Thomas University,5,25.922071,-80.253273,9.676303050636118,3.0,0.0,0.0,,,1.0,11.0,3701.0,3860.0,3753.0,3402.0,3582.0,3659.6,45314.0,45314.0,26641.0,40649.0,46310.0,41141.2,1560.0,1510.0,888.0,1355.0,1544.0,1371.4,2906.0,2752.0,3182.0,931.0,1035.0,2161.2,2137.0,1041.0,232.0,230.0,2.0,16.0,560.0,440.0,21.0,417.0,15.0,1861282.0,4464.0,487.0,18.0,5170776.0,10618.0,,,,,,,,,,,,,,,,,,,,,24836.0,18778.0,21033.0,21526.0,25097.0,21769.0,24629.0,28211.0,15760.0,18146.0,16797.0,19789.0,19870.0,22957.0,25705.0,27326.0,28380.0,27008.0
Advance Science College,3,25.855863,-80.307736,3.986798546655399,0.0,0.0,0.0,,,0.0,15.0,88.0,80.0,73.0,63.0,52.0,71.2,,,492.0,,,1246.0,68.0,24.0,29.0,48.0,23.0,38.4,69.0,22.0,44.0,34.0,39.0,41.6,,,,,,,,,,72.0,90.0,408462.0,5673.0,50.0,63.0,252600.0,5052.0,,,,,,,,,,,,,,,,,,,,,20564.0,19299.0,18442.0,22606.0,,,,,21375.0,,,,,20498.0,,,,
Orion College,5,26.17005,-80.202496,26.41398185158255,,,0.0,0.0,0.0,0.0,25.0,,353.0,514.0,717.0,988.0,643.0,10741.0,10741.0,14241.0,19460.0,31437.0,18969.75,,358.0,475.0,649.0,1048.0,632.5,136.0,221.0,336.0,441.0,632.0,353.2,,,,,,,,,,195.0,89.0,1039833.0,5332.0,209.0,96.0,1881828.0,9004.0,,,,,,,,,,,,,,,,,,,,,18650.0,18726.0,18051.0,18727.0,17909.0,23174.0,,,18726.0,,,,,17839.0,16850.0,,,
Future-Tech Institute,3,25.7646,-80.251401,6.782734688562969,0.0,,,,,0.0,17.0,134.0,117.0,145.0,166.0,150.0,142.4,3373.0,3373.0,4389.0,5008.0,4511.0,4233.4,130.0,112.0,146.0,167.0,150.0,141.0,83.0,102.0,128.0,38.0,35.0,77.2,,,,,,,,,,103.0,100.0,593130.0,5759.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,5553.0,5021.0,4945.0,5553.0,,,,,5021.0,,,,,4945.0,,,,
